epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,193.4,2.22427,2.99637,1.36222,1.04686,0,0.4217,0.38808,0.32779,0.11576,0.35433,0.3163,0.25162,0.07217,2.29557,3.42715,1.54455,1.14011,0,0.0007526,0.0007526,0.0007526
65,196.403,2.20596,2.96855,1.34465,1.03507,0,0.40734,0.39599,0.3339,0.12266,0.3753,0.34124,0.27756,0.07829,2.25163,3.32722,1.50902,1.10851,0,0.0007328,0.0007328,0.0007328
66,199.396,2.22332,2.93228,1.35777,1.03861,0,0.40988,0.36131,0.32216,0.11372,0.33443,0.32238,0.24188,0.07002,2.25715,3.31443,1.51062,1.10763,0,0.000713,0.000713,0.000713
67,202.379,2.22357,2.90462,1.34548,1.03982,0,0.44225,0.3815,0.34848,0.12797,0.36425,0.33698,0.27757,0.0809,2.22635,3.30208,1.45965,1.12349,0,0.0006932,0.0006932,0.0006932
68,205.362,2.19213,2.93536,1.35462,1.0497,0,0.41482,0.39367,0.33776,0.12318,0.36457,0.31265,0.26194,0.07451,2.2473,3.28285,1.48419,1.11946,0,0.0006734,0.0006734,0.0006734
69,208.437,2.19149,2.93963,1.35668,1.04087,0,0.42718,0.38321,0.34904,0.12629,0.36423,0.34246,0.28385,0.08218,2.26723,3.22157,1.47568,1.1288,0,0.0006536,0.0006536,0.0006536
70,211.432,2.17117,2.99218,1.34899,1.04761,0,0.42776,0.37877,0.34016,0.1226,0.36134,0.31995,0.25503,0.07177,2.24795,3.1825,1.49503,1.11304,0,0.0006338,0.0006338,0.0006338
71,214.444,2.12597,2.92677,1.31734,1.0388,0,0.42328,0.39234,0.34634,0.12314,0.3539,0.33516,0.25359,0.0717,2.23416,3.23147,1.46371,1.12124,0,0.000614,0.000614,0.000614
72,217.432,2.2085,2.95777,1.34922,1.04374,0,0.43265,0.38504,0.34827,0.12751,0.35105,0.33029,0.25581,0.07264,2.24305,3.35584,1.46959,1.11456,0,0.0005942,0.0005942,0.0005942
73,220.478,2.20388,2.93882,1.35466,1.03823,0,0.4348,0.39166,0.356,0.13032,0.38058,0.34063,0.27923,0.07943,2.23367,3.21886,1.43531,1.13921,0,0.0005744,0.0005744,0.0005744
74,223.738,2.1983,2.96144,1.34552,1.04145,0,0.44174,0.38808,0.34804,0.12281,0.36878,0.34756,0.26911,0.07968,2.26767,3.24922,1.52667,1.13655,0,0.0005546,0.0005546,0.0005546
75,226.966,2.19731,2.93821,1.30288,1.02299,0,0.45868,0.39112,0.35354,0.13308,0.39832,0.3149,0.27544,0.08096,2.21081,3.23102,1.49827,1.12446,0,0.0005348,0.0005348,0.0005348
76,230.21,2.13573,2.93029,1.29245,1.02752,0,0.44262,0.38078,0.33989,0.12491,0.338,0.32908,0.25897,0.07714,2.22627,3.21664,1.45111,1.12901,0,0.000515,0.000515,0.000515
77,233.454,2.16141,3.03514,1.3315,1.03389,0,0.42941,0.40207,0.34959,0.12606,0.38218,0.31691,0.26675,0.07445,2.24153,3.20793,1.47471,1.11587,0,0.0004952,0.0004952,0.0004952
