epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,296.443,2.18686,2.93197,1.32415,1.02061,0,0.46498,0.4053,0.36404,0.13245,0.39093,0.32517,0.27427,0.08125,2.28013,3.18831,1.43038,1.08555,0,0.0002774,0.0002774,0.0002774
89,299.879,2.15066,2.88022,1.32826,1.02178,0,0.4686,0.41172,0.37055,0.13474,0.3914,0.33967,0.28633,0.08206,2.25529,3.15476,1.40032,1.0855,0,0.0002576,0.0002576,0.0002576
90,303.347,2.21662,2.94929,1.36405,1.02339,0,0.45641,0.4266,0.36322,0.13049,0.38449,0.34715,0.28701,0.085,2.26509,3.14638,1.42669,1.08237,0,0.0002378,0.0002378,0.0002378
91,307.159,2.14694,2.90542,1.39859,1.0413,0,0.47446,0.40184,0.37292,0.13715,0.41027,0.32239,0.28722,0.08195,2.24927,3.14207,1.41437,1.07405,0,0.000218,0.000218,0.000218
92,310.49,2.14495,2.89227,1.38004,1.04127,0,0.45946,0.41796,0.3711,0.13593,0.38415,0.34945,0.28945,0.08304,2.246,3.13905,1.39784,1.08519,0,0.0001982,0.0001982,0.0001982
93,313.874,2.13848,2.87413,1.36428,1.04263,0,0.46962,0.40012,0.3717,0.13554,0.39322,0.32642,0.28221,0.08059,2.22773,3.15773,1.39296,1.08211,0,0.0001784,0.0001784,0.0001784
94,317.143,2.11439,2.85959,1.33592,1.04935,0,0.46896,0.4053,0.36958,0.13494,0.38812,0.34197,0.28879,0.08402,2.25421,3.16401,1.39791,1.08717,0,0.0001586,0.0001586,0.0001586
95,320.397,2.105,2.86254,1.33496,1.04886,0,0.47885,0.40472,0.37289,0.1375,0.42258,0.33045,0.29383,0.08652,2.24127,3.21079,1.40695,1.08521,0,0.0001388,0.0001388,0.0001388
96,323.645,2.11275,2.87469,1.3399,1.03728,0,0.45954,0.42026,0.37741,0.13816,0.37929,0.35176,0.29015,0.08431,2.24003,3.15101,1.39116,1.08568,0,0.000119,0.000119,0.000119
97,326.878,2.11265,2.83764,1.34228,1.03583,0,0.46478,0.4266,0.37584,0.1372,0.39942,0.33967,0.28908,0.08663,2.26037,3.14488,1.39356,1.09274,0,9.92e-05,9.92e-05,9.92e-05
98,330.09,2.09783,2.81957,1.33514,1.02618,0,0.44553,0.42084,0.37443,0.13785,0.38081,0.33777,0.29184,0.08684,2.24973,3.12802,1.38405,1.08206,0,7.94e-05,7.94e-05,7.94e-05
99,333.338,2.10919,2.88443,1.33897,1.03624,0,0.46471,0.42283,0.37883,0.13907,0.39894,0.3437,0.29802,0.08694,2.24427,3.12856,1.3923,1.08202,0,5.96e-05,5.96e-05,5.96e-05
100,336.679,2.10256,2.82192,1.33512,1.03924,0,0.45035,0.43005,0.37467,0.13769,0.39643,0.33736,0.28988,0.08576,2.24523,3.16171,1.3853,1.08305,0,3.98e-05,3.98e-05,3.98e-05
